frame,NOSE_x,NOSE_y,NOSE_z,NOSE_vis,L_SHOULDER_x,L_SHOULDER_y,L_SHOULDER_z,L_SHOULDER_vis,R_SHOULDER_x,R_SHOULDER_y,R_SHOULDER_z,R_SHOULDER_vis,L_ELBOW_x,L_ELBOW_y,L_ELBOW_z,L_ELBOW_vis,R_ELBOW_x,R_ELBOW_y,R_ELBOW_z,R_ELBOW_vis,L_WRIST_x,L_WRIST_y,L_WRIST_z,L_WRIST_vis,R_WRIST_x,R_WRIST_y,R_WRIST_z,R_WRIST_vis,L_HIP_x,L_HIP_y,L_HIP_z,L_HIP_vis,R_HIP_x,R_HIP_y,R_HIP_z,R_HIP_vis,L_KNEE_x,L_KNEE_y,L_KNEE_z,L_KNEE_vis,R_KNEE_x,R_KNEE_y,R_KNEE_z,R_KNEE_vis,L_ANKLE_x,L_ANKLE_y,L_ANKLE_z,L_ANKLE_vis,R_ANKLE_x,R_ANKLE_y,R_ANKLE_z,R_ANKLE_vis
0,0.6766754388809204,0.16519924998283386,-0.14940550923347473,0.9994307160377502,0.548051118850708,0.2511165142059326,0.5017011761665344,0.9998738169670105,0.46046334505081177,0.23806317150592804,-0.8266057372093201,0.9999783635139465,0.1634826362133026,0.29748818278312683,0.020927101373672485,0.09686822444200516,0.3417791724205017,0.37594762444496155,-1.1046546697616577,0.996766209602356,0.15673138201236725,0.36541134119033813,-0.4180038571357727,0.243392214179039,0.6348055005073547,0.42622798681259155,-1.1037534475326538,0.9897136092185974,0.42181143164634705,0.5258448719978333,0.425394207239151,0.9998390078544617,0.2907170355319977,0.5423170924186707,-0.4255227744579315,0.9999132752418518,0.3249261677265167,0.6662663817405701,0.12213408946990967,0.18860073387622833,0.5256661772727966,0.7234788537025452,-0.5799586176872253,0.8832230567932129,0.6393495798110962,0.8869303464889526,0.41985127329826355,0.2668633460998535,0.37275102734565735,0.9527671933174133,-0.37567824125289917,0.8507007956504822
1,0.6318005919456482,0.16720926761627197,-0.1541052609682083,0.999459445476532,0.5527986288070679,0.25391092896461487,0.410320520401001,0.9998832941055298,0.46015164256095886,0.24115411937236786,-0.7722445726394653,0.9999797344207764,0.1634826362133026,0.29748818278312683,0.020927101373672485,0.1141607016324997,0.3390093147754669,0.37295064330101013,-1.036354422569275,0.9969000816345215,0.15673138201236725,0.36541134119033813,-0.4180038571357727,0.28773683309555054,0.5791457295417786,0.4338757395744324,-1.0629491806030273,0.989933967590332,0.39814355969429016,0.5261814594268799,0.3880058825016022,0.999849259853363,0.26971057057380676,0.5448266863822937,-0.3880143165588379,0.9999180436134338,0.3249261677265167,0.6662663817405701,0.12213408946990967,0.19948633015155792,0.5055015087127686,0.7229346036911011,-0.5172958970069885,0.8910470008850098,0.6393495798110962,0.8869303464889526,0.41985127329826355,0.2986036241054535,0.3642789125442505,0.9481930732727051,-0.3266776204109192,0.8619548082351685
2,0.6230433583259583,0.1681113988161087,-0.04717876762151718,0.9994916915893555,0.5367584228515625,0.252961665391922,0.43445417284965515,0.9998921751976013,0.45707154273986816,0.2380279004573822,-0.6821867227554321,0.9999813437461853,0.1634826362133026,0.29748818278312683,0.020927101373672485,0.11880383640527725,0.3411487638950348,0.3738654851913452,-0.9773319363594055,0.9970511198043823,0.15673138201236725,0.36541134119033813,-0.4180038571357727,0.3089437484741211,0.5614053010940552,0.4379371404647827,-1.034665584564209,0.9903291463851929,0.3860906660556793,0.5222370624542236,0.3729161322116852,0.9998592138290405,0.2646130323410034,0.5376334190368652,-0.37289100885391235,0.9999234080314636,0.3249261677265167,0.6662663817405701,0.12213408946990967,0.2027309536933899,0.5116760730743408,0.7138013243675232,-0.5239244699478149,0.899096667766571,0.6393495798110962,0.8869303464889526,0.41985127329826355,0.3195120394229889,0.3728680908679962,0.9438344836235046,-0.4117658734321594,0.8731696605682373
3,0.5999168157577515,0.17534326016902924,-0.057930681854486465,0.9990143775939941,0.5258190035820007,0.2636984586715698,0.3702687919139862,0.9998373985290527,0.4587884843349457,0.24780984222888947,-0.5946857333183289,0.999982476234436,0.1634826362133026,0.29748818278312683,0.020927101373672485,0.10738933831453323,0.33057644963264465,0.387446790933609,-0.7438339591026306,0.9967448115348816,0.15673138201236725,0.36541134119033813,-0.4180038571357727,0.27831190824508667,0.44190162420272827,0.5198373198509216,-0.6867672204971313,0.990307629108429,0.342722088098526,0.5364037752151489,0.3277786374092102,0.9998660683631897,0.23487180471420288,0.5458031296730042,-0.3277862071990967,0.9999293088912964,0.3249261677265167,0.6662663817405701,0.12213408946990967,0.21749861538410187,0.47226187586784363,0.7078732252120972,-0.49399182200431824,0.9064335227012634,0.6393495798110962,0.8869303464889526,0.41985127329826355,0.3445488214492798,0.33332085609436035,0.9491115808486938,-0.4491991102695465,0.882500946521759
4,0.5708627104759216,0.16574659943580627,-0.022603323683142662,0.999075174331665,0.4993898868560791,0.2609075903892517,0.37777894735336304,0.9998370409011841,0.4506244659423828,0.24415698647499084,-0.5712133049964905,0.9999837875366211,0.1634826362133026,0.29748818278312683,0.020927101373672485,0.09768471866846085,0.3405859172344208,0.38673320412635803,-0.7037696838378906,0.9963616132736206,0.15673138201236725,0.36541134119033813,-0.4180038571357727,0.25109657645225525,0.419808954000473,0.5279465317726135,-0.544581413269043,0.98704993724823,0.31875079870224,0.5370023846626282,0.31998002529144287,0.9998765587806702,0.22702144086360931,0.5437034964561462,-0.31989914178848267,0.9999355673789978,0.3249261677265167,0.6662663817405701,0.12213408946990967,0.24345341324806213,0.45835080742836,0.7127155065536499,-0.46625152230262756,0.9153184294700623,0.6393495798110962,0.8869303464889526,0.41985127329826355,0.3818001449108124,0.32635292410850525,0.9582670331001282,-0.4078621566295624,0.8936576843261719
5,0.5421910881996155,0.1692180037498474,-0.2070368081331253,0.999165415763855,0.4870024621486664,0.2735500931739807,0.20492318272590637,0.9998441338539124,0.42594268918037415,0.2674465775489807,-0.575776994228363,0.9999851584434509,0.1634826362133026,0.29748818278312683,0.020927101373672485,0.09542625397443771,0.31232568621635437,0.41171571612358093,-0.7207750082015991,0.9962182641029358,0.15673138201236725,0.36541134119033813,-0.4180038571357727,0.23608916997909546,0.3011506497859955,0.5857157707214355,-0.7021673321723938,0.9868205189704895,0.2974054515361786,0.5337645411491394,0.27754586935043335,0.9998718500137329,0.21279175579547882,0.5482419729232788,-0.2776415944099426,0.9999363422393799,0.3249261677265167,0.6662663817405701,0.12213408946990967,0.2678323984146118,0.4441491365432739,0.7093546390533447,-0.3827284872531891,0.922348141670227,0.6393495798110962,0.8869303464889526,0.41985127329826355,0.41474923491477966,0.3082719147205353,0.9550672769546509,-0.37499159574508667,0.9029697775840759
6,0.5344266295433044,0.17386305332183838,-0.2551802396774292,0.9992429614067078,0.47196218371391296,0.2737029194831848,0.15690332651138306,0.9998418092727661,0.4108869731426239,0.27747052907943726,-0.5567805171012878,0.9999861121177673,0.1634826362133026,0.29748818278312683,0.020927101373672485,0.0909675732254982,0.30328142642974854,0.4245215654373169,-0.6813902258872986,0.9958176612854004,0.15673138201236725,0.36541134119033813,-0.4180038571357727,0.21847864985466003,0.27989661693573,0.5965533256530762,-0.6764910221099854,0.9865813851356506,0.289938747882843,0.5286815762519836,0.23911020159721375,0.9998556971549988,0.20593252778053284,0.5475552082061768,-0.2393384426832199,0.9999330639839172,0.3249261677265167,0.6662663817405701,0.12213408946990967,0.2860602140426636,0.4430115818977356,0.7046473026275635,-0.33505091071128845,0.9271541833877563,0.6393495798110962,0.8869303464889526,0.41985127329826355,0.437272846698761,0.31643763184547424,0.949715793132782,-0.29792144894599915,0.9095420241355896
7,0.5357741713523865,0.18908362090587616,-0.11206591874361038,0.9993061423301697,0.4573018252849579,0.2756097614765167,0.22729671001434326,0.9998452663421631,0.4068347215652466,0.2781234681606293,-0.4990808665752411,0.9999873638153076,0.1634826362133026,0.29748818278312683,0.020927101373672485,0.0828438550233841,0.29787570238113403,0.4248167872428894,-0.6265656352043152,0.995919942855835,0.15673138201236725,0.36541134119033813,-0.4180038571357727,0.19705399870872498,0.27298566699028015,0.5935903191566467,-0.5600900053977966,0.9870423078536987,0.2866315543651581,0.5272645950317383,0.23474568128585815,0.9998646974563599,0.20401565730571747,0.545272946357727,-0.2349337488412857,0.9999386072158813,0.3249261677265167,0.6662663817405701,0.12213408946990967,0.31471747159957886,0.43905574083328247,0.7032243013381958,-0.2925233840942383,0.9336772561073303,0.6393495798110962,0.8869303464889526,0.41985127329826355,0.4691962003707886,0.3152151107788086,0.9456760287284851,-0.278553307056427,0.9176177382469177
8,0.5418245196342468,0.1938205510377884,-0.1410759538412094,0.999373197555542,0.4600391089916229,0.28441402316093445,0.17706215381622314,0.9998557567596436,0.39592379331588745,0.2855326533317566,-0.4967842698097229,0.9999884366989136,0.1634826362133026,0.29748818278312683,0.020927101373672485,0.09832606464624405,0.28883597254753113,0.42950552701950073,-0.6313014030456543,0.9961087107658386,0.15673138201236725,0.36541134119033813,-0.4180038571357727,0.21390429139137268,0.21494561433792114,0.5923045873641968,-0.5920813679695129,0.9879223108291626,0.2845727205276489,0.5296866297721863,0.22150194644927979,0.9998553395271301,0.20075702667236328,0.5477890372276306,-0.22176800668239594,0.9999362826347351,0.3249261677265167,0.6662663817405701,0.12213408946990967,0.3287898004055023,0.4407076835632324,0.7088838815689087,-0.2963303327560425,0.9376042485237122,0.6393495798110962,0.8869303464889526,0.41985127329826355,0.47866615653038025,0.3036065101623535,0.9551093578338623,-0.22976134717464447,0.9211585521697998
9,0.5432870984077454,0.20001016557216644,-0.09045666456222534,0.9994349479675293,0.4534796476364136,0.2821296453475952,0.21607598662376404,0.9998685121536255,0.3889850974082947,0.28094902634620667,-0.4356975555419922,0.9999894499778748,0.1634826362133026,0.29748818278312683,0.020927101373672485,0.13945941627025604,0.28207194805145264,0.42230895161628723,-0.5965360999107361,0.9963138699531555,0.15673138201236725,0.36541134119033813,-0.4180038571357727,0.2719111740589142,0.19608284533023834,0.5962463021278381,-0.6033138036727905,0.9887555241584778,0.28626546263694763,0.5374338626861572,0.21858227252960205,0.9998521208763123,0.20065505802631378,0.5479673147201538,-0.2188856452703476,0.9999344944953918,0.3249261677265167,0.6662663817405701,0.12213408946990967,0.32894736528396606,0.44422656297683716,0.7099851369857788,-0.33250892162323,0.9409053921699524,0.6393495798110962,0.8869303464889526,0.41985127329826355,0.47065097093582153,0.29860633611679077,0.9579113125801086,-0.23724083602428436,0.9223275780677795
